symbol,legal_name,cik,figi,exchange_mic,security_type,share_class,currency,domicile,sic,source_classification,mapped_sector,primary_liquid_class
LRCX,LAM RESEARCH CORP,0000707549,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
MAR,MARRIOTT INTERNATIONAL INC /MD/,0001048286,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
MCHP,MICROCHIP TECHNOLOGY INC,0000827054,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
MDLZ,"Mondelez International, Inc.",0001103982,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
MELI,MERCADOLIBRE INC,0001099590,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
META,"Meta Platforms, Inc.",0001326801,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
MNST,Monster Beverage Corp,0000865752,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
MPWR,MONOLITHIC POWER SYSTEMS INC,0001280452,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
MRVL,"Marvell Technology, Inc.",0001835632,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
MSFT,MICROSOFT CORP,0000789019,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
MSTR,MICROSTRATEGY Inc,0001050446,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
MU,MICRON TECHNOLOGY INC,0000723125,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
NBIS,Nebius Group N.V.,0001513845,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
NFLX,NETFLIX INC,0001065280,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
NVDA,NVIDIA CORP,0001045810,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
NXPI,NXP Semiconductors N.V.,0001413447,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ODFL,"OLD DOMINION FREIGHT LINE, INC.",0000878927,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ORLY,O REILLY AUTOMOTIVE INC,0000898173,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
PANW,Palo Alto Networks Inc,0001327567,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
PAYX,PAYCHEX INC,0000723531,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
PCAR,PACCAR INC,0000075362,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
PDD,PDD Holdings Inc.,0001737806,,XNAS,DEPOSITARY_RECEIPT,UNSPECIFIED,USD,,,,,true
PEP,PEPSICO INC,0000077476,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
PLTR,Palantir Technologies Inc.,0001321655,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
PYPL,"PayPal Holdings, Inc.",0001633917,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
QCOM,QUALCOMM INC/DE,0000804328,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
RKLB,Rocket Lab Corp,0001819994,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ROP,ROPER TECHNOLOGIES INC,0000882835,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ROST,"ROSS STORES, INC.",0000745732,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
SBUX,STARBUCKS CORP,0000829224,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
SHOP,SHOPIFY INC.,0001594805,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
SNDK,Sandisk Corp,0002023554,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
SNPS,SYNOPSYS INC,0000883241,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
SPCX,SPACE EXPLORATION TECHNOLOGIES CORP,0001181412,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
STX,Seagate Technology Holdings plc,0001137789,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
TER,"TERADYNE, INC",0000097210,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
TMUS,"T-Mobile US, Inc.",0001283699,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
TRI,THOMSON REUTERS CORP /CAN/,0001075124,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
TSLA,"Tesla, Inc.",0001318605,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
TXN,TEXAS INSTRUMENTS INC,0000097476,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
VRTX,VERTEX PHARMACEUTICALS INC / MA,0000875320,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
WBD,"Warner Bros. Discovery, Inc.",0001437107,,XNAS,COMMON_STOCK,SERIES_A,USD,,,,,true
WDAY,"Workday, Inc.",0001327811,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
WDC,WESTERN DIGITAL CORP,0000106040,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
WMT,Walmart Inc.,0000104169,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
XEL,XCEL ENERGY INC,0000072903,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
